Episode,Loss,Info
0,2.0,84
1,1.8,379
2,1.62,107
3,1.458,85
4,1.3121999999999998,130
5,1.18098,274
6,1.0628819999999999,239
7,0.9565937999999998,177
8,0.8609344199999998,117
9,0.7748409779999998,27
10,0.6973568801999999,57
11,0.6276211921799999,47
12,0.564859072962,75
13,0.5083731656657999,23
14,0.45753584909921985,19
15,0.41178226418929786,21
16,0.3706040377703681,19
17,0.3335436339933313,19
18,0.30018927059399814,19
19,0.27017034353459835,23
20,0.24315330918113842,23
21,0.21883797826302454,21
22,0.19695418043672208,21
23,0.17725876239304994,27
24,0.15953288615374506,21
25,0.14357959753837046,19
26,0.12922163778453344,19
27,0.1162994740060801,25
28,0.10466952660547202,19
29,0.09420257394492482,19
30,0.08478231655043222,21
31,0.07630408489538909,20
32,0.0686736764058502,21
33,0.06180630876526516,19
34,0.055625677888738734,21
35,0.05006311009986497,21
36,0.045056799089878474,19
37,0.040551119180890716,23
38,0.036496007262801555,22
39,0.03284640653652149,19
40,0.029561765882869295,21
41,0.026605589294582455,21
42,0.023945030365124298,21
43,0.021550527328611846,21
44,0.01939547459575075,19
45,0.01745592713617561,19
46,0.01571033442255798,21
47,0.014139300980302139,19
48,0.01272537088227188,19
49,0.011452833794044714,23
50,0.010307550414640154,23
51,0.00927679537317605,23
52,0.0083491158358584,27
53,0.0075142042522724495,23
54,0.0067627838270452045,23
55,0.00608650544434064,19
56,0.005477854899906598,23
57,0.004930069409915916,25
58,0.00443706246892428,27
59,0.003993356222031785,21
60,0.0035940205998286068,23
61,0.003234618539845746,21
62,0.0029111566858612825,21
63,0.0026200410172751987,21
64,0.00235803691554759,23
65,0.002122233223992742,28
66,0.0019100099015934013,19
67,0.0017190089114340612,21
68,0.0015471080202906773,19
69,0.0013923972182616762,19
70,0.0012531574964356196,23
71,0.0011278417467921464,25
72,0.001015057572112843,21
73,0.0009135518149014921,21
74,0.0008221966334114317,19
75,0.0007399769700702219,24
76,0.0006659792730632219,23
77,0.0005993813457569885,19
78,0.0005394432111813785,21
79,0.00048549889006332947,21
80,0.0004369490010569521,27
81,0.0003932541009512569,25
82,0.0003539286908560424,19
83,0.0003185358217705492,19
84,0.00028668223959349426,25
85,0.0002580140156340782,19
86,0.00023221261407058158,25
87,0.00020899135266350122,20
88,0.0001880922173971289,21
89,0.0001692829956574382,19
90,0.000152354696091761,23
91,0.00013711922648251829,23
92,0.00012340730383431087,25
93,0.00011106657345094639,19
94,9.995991610578514e-05,19
95,8.996392449511781e-05,19
96,8.096753204567264e-05,19
97,7.287077884110538e-05,21
98,6.558370095710586e-05,19
99,5.9025330861439684e-05,19
100,5.312279777536233e-05,21
101,4.781051799773728e-05,19
102,4.3029466197941346e-05,23
103,3.8726519578258234e-05,25
104,3.485386762047682e-05,23
105,3.136848085838473e-05,19
106,2.8231632772435233e-05,19
107,2.5408469495280528e-05,21
108,2.286762254577468e-05,22
109,2.0580860291108394e-05,19
110,1.8522774261953145e-05,19
111,1.667049683584665e-05,24
112,1.5003447152217575e-05,23
113,1.3503102437084635e-05,19
114,1.215279219346499e-05,23
115,1.0937512974207309e-05,21
116,9.8437616768976e-06,19
117,8.85938550920784e-06,21
118,7.973446958242647e-06,21
119,7.176102262418382e-06,19
120,6.458492036287566e-06,25
121,5.812642832614401e-06,21
122,5.231378549463983e-06,19
123,4.708240694428767e-06,19
124,4.237416624919277e-06,23
125,3.8136749624939625e-06,27
126,3.4323074662445663e-06,21
127,3.089076719531292e-06,19
128,2.780169047644776e-06,21
129,2.502152142813685e-06,19
130,2.2519369284879076e-06,21
131,2.0267432356835258e-06,19
132,1.8240689121373777e-06,19
133,1.6416620209902533e-06,23
134,1.47749581880241e-06,23
135,1.3297462368999646e-06,19
136,1.1967716131433548e-06,21
